"","Job_Title","Company","Location","Links"
"29","Data Scientist","CyberCoders","Atlanta, GA 30314 (West End area)","/pagead/clk?mo=r&ad=-6NYlbfkN0CpFJQzrgRR8WqXWK1qKKEqALWJw739KlKqr2H-MSI4eh4ZOxqVaUrhNSyjVEAq5t7HtcOUSrkeIUBjx2O6_VA5GcgZXlSYyMkjTZYbFrNN7sDV0-EwJq5Ln98fhbl9vb2fnxqLzP4TZuZQYPW1C226SZWbtJ959Gc4NkXP_1YYIaKnAIdMzJ1SDOG8tS8ohck3AqDwHR4-M6Nc6U--d4lmGr8dxVzz5LgCdFoYyxzGv4jlb-cvz5iVJcnhj6eZjnDeZL7rtZ1Eb0cDmm6_JriVpDEpvxX7XcyIo1KDnN236mImO7h48g0GTsn-1RFFKvVfEMWlmNvaSF8GmIhy8CRP3qOxZztTt-SxLIIjC7fuFQOonZwJX0N6kuvX7zxueT_8U3syJC0EsZlI4EoCCMs1vMuEzuojUCQwC58dJHgRekmTdd09xb9tqyBpxS1Lukt3PPoVGG6-ht4S_YxbFdKLqOuVzVcHA0wg6bTp1sHx7FLCTvNNC3S2l0MTSKmWGZOsPaVqX_nji7IIqp9oRWdozLzl7vAphZyUkoEtTN5qluROJWrMrV0c4z-TGgBjfyUcKziZJAaqwt3wRWX8s_ELVfGVUiOpprWJPVW3on4VHZC8G6hCkkooF827bQda5BEmxSYnqtO4irg8QVxJRB0PmdX09NTn3dHtC8dw0DCUbZFmPhNA_lyFKyW709qpru5g5c3p8QRCgHOVYyP_ej7v9LyTRAcSXF75d01w2866pETp8f3vaxY4OQeNYH97-vR3sfspPZ5A8HY-LaZKffwRSstLfypX9qX-gGrLwxzLfT0EhzEhA5Bj2ve6DLOBCEAYNuspyDVgJHKgBBL9dns6ol_KQXDTR2RLfNzlHqERByKhl-ATaVP6jBm4SPI-UGTpkkRMHDneWlXL0UIRtjyF_PIn4xlxqo5dSCTEQAKPrt6SUcekRKipL-PtKWxB3rwOeJPs1A0OgA==&p=12&fvj=0&vjs=3"
"30","Senior Data Scientist","Verusen","Atlanta, GA 30308 (Midtown area)","/rc/clk?jk=7532d435ba081f84&fccid=4533445e9bf66d49&vjs=3"
"31","Data Analytics Intern I- Undergrad","Anthem","Atlanta, GA","/rc/clk?jk=47943f8593218b75&fccid=2a4da7fa99f4b9ae&vjs=3"
"32","Senior Data Scientist","Honeywell","Atlanta, GA 30308 (Midtown area)","/rc/clk?jk=c061b7bc1e3a18e5&fccid=50208b5bf45ee3b8&vjs=3"
"33","Data Analytics Intern I- Undergrad","Anthem","Atlanta, GA","/rc/clk?jk=47943f8593218b75&fccid=2a4da7fa99f4b9ae&vjs=3"
"34","Climate Data Scientist - Senior Manager","Deloitte","Atlanta, GA 30303 (Downtown area)","/rc/clk?jk=7b149fc8094e0a67&fccid=9e215d88a6b33622&vjs=3"
"35","Data Scientist/Sr. Data Scientist","UCB S.A.","Smyrna, GA","/rc/clk?jk=8ef38725427990cd&fccid=33684b64e937e3af&vjs=3"
"36","Senior Data Scientist, Online Recommendation","Home Depot / THD","Atlanta, GA 30301 (Buckhead area)","/rc/clk?jk=dca7782d635ea0a2&fccid=82e58e9861d48566&vjs=3"
"37","Data Scientist - Nationwide Opportunities","Amazon Web Services, Inc.","Atlanta, GA","/rc/clk?jk=20b6e44a7d8d7ad5&fccid=fe2d21eef233e94a&vjs=3"
"38","Vice President, Data Science (Atlanta, GA)","BlackRock","Atlanta, GA","/rc/clk?jk=aee797c451a1c2a6&fccid=58c732f14833248a&vjs=3"
"39","Business Marketing Data Scientist","Serta Simmons Bedding, LLC","Doraville, GA","/rc/clk?jk=0d2d76d837181c26&fccid=9f47810177ecb763&vjs=3"
"40","Associate, Data Scientist, Optimization","KPMG","Atlanta, GA 30308 (Downtown area)","/rc/clk?jk=bcdb90e9e7bc0a88&fccid=2dd390c3a48a7ed0&vjs=3"
"41","Principal Data Scientist","Anthem","Atlanta, GA","/rc/clk?jk=b9b994e152396ca7&fccid=2a4da7fa99f4b9ae&vjs=3"
